日期,植物ID,生长阶段,天气,最高温度(°C),最低温度(°C),湿度(%),光照(小时),降水量(mm),土壤湿度(%),遮阳棚建议,原因
2024/03/01,1,播种期,晴,16.3,6.1,54.0,9.2,0.3,66.0,关闭遮阳棚,环境条件适宜
2024/03/01,2,播种期,晴,14.9,4.7,56.0,9.4,0.4,71.0,关闭遮阳棚,环境条件适宜
2024/03/01,3,播种期,晴,14.2,4.0,62.0,9.7,0.0,70.0,关闭遮阳棚,环境条件适宜
2024/03/01,4,播种期,晴,16.3,6.1,61.0,9.4,0.0,64.0,关闭遮阳棚,环境条件适宜
2024/03/02,1,播种期,晴,15.9,5.6,51.0,9.7,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/02,2,播种期,晴,16.1,5.8,53.0,9.9,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/02,3,播种期,晴,16.3,6.0,52.0,9.9,0.6,60.0,关闭遮阳棚,环境条件适宜
2024/03/02,4,播种期,晴,16.6,6.3,54.0,9.6,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/03/03,1,播种期,多云,14.3,6.0,70.0,6.4,0.0,66.0,关闭遮阳棚,环境条件适宜
2024/03/03,2,播种期,多云,15.7,7.4,65.0,6.3,0.0,65.0,关闭遮阳棚,环境条件适宜
2024/03/03,3,播种期,多云,15.7,7.4,61.0,5.7,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/03,4,播种期,多云,15.3,7.0,63.0,6.2,0.0,67.0,关闭遮阳棚,环境条件适宜
2024/03/04,1,播种期,小雨,12.6,6.2,83.0,2.1,3.7,73.0,关闭遮阳棚,环境条件适宜
2024/03/04,2,播种期,小雨,13.4,7.0,78.0,2.5,2.6,79.0,关闭遮阳棚,环境条件适宜
2024/03/04,3,播种期,小雨,14.1,7.7,82.0,1.8,4.4,79.0,关闭遮阳棚,环境条件适宜
2024/03/04,4,播种期,小雨,13.5,7.1,85.0,2.4,4.0,80.0,关闭遮阳棚,环境条件适宜
2024/03/05,1,播种期,阴,14.2,8.0,85.0,1.3,0.0,67.0,关闭遮阳棚,环境条件适宜
2024/03/05,2,播种期,阴,14.5,8.3,81.0,2.0,1.1,63.0,关闭遮阳棚,环境条件适宜
2024/03/05,3,播种期,阴,14.3,8.1,81.0,1.5,0.6,71.0,关闭遮阳棚,环境条件适宜
2024/03/05,4,播种期,阴,14.1,7.9,88.0,1.5,1.0,69.0,关闭遮阳棚,环境条件适宜
2024/03/06,1,播种期,晴,16.8,7.2,67.0,9.4,0.6,66.0,关闭遮阳棚,环境条件适宜
2024/03/06,2,播种期,晴,15.5,5.9,67.0,10.0,0.5,67.0,关闭遮阳棚,环境条件适宜
2024/03/06,3,播种期,晴,16.4,6.8,67.0,10.0,0.8,62.0,关闭遮阳棚,环境条件适宜
2024/03/06,4,播种期,晴,16.5,6.9,66.0,9.5,0.7,63.0,关闭遮阳棚,环境条件适宜
2024/03/07,1,播种期,晴,16.4,6.6,67.0,10.5,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/07,2,播种期,晴,15.8,6.0,68.0,10.1,0.1,55.0,关闭遮阳棚,环境条件适宜
2024/03/07,3,播种期,晴,17.1,7.3,69.0,10.4,0.2,55.0,关闭遮阳棚,环境条件适宜
2024/03/07,4,播种期,晴,17.3,7.5,68.0,9.8,0.5,61.0,关闭遮阳棚,环境条件适宜
2024/03/08,1,发芽期,晴,18.3,8.6,63.0,10.0,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/08,2,发芽期,晴,16.4,6.7,65.0,10.5,0.7,56.0,关闭遮阳棚,环境条件适宜
2024/03/08,3,播种期,晴,17.5,7.8,65.0,10.5,0.7,55.0,关闭遮阳棚,环境条件适宜
2024/03/08,4,播种期,晴,17.2,7.5,67.0,10.8,0.9,59.0,关闭遮阳棚,环境条件适宜
2024/03/09,1,发芽期,晴,17.7,7.9,64.0,11.2,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/09,2,发芽期,晴,16.6,6.8,66.0,11.0,1.0,63.0,关闭遮阳棚,环境条件适宜
2024/03/09,3,发芽期,晴,18.6,8.8,65.0,10.8,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/09,4,播种期,晴,18.7,8.9,65.0,10.5,0.1,55.0,关闭遮阳棚,环境条件适宜
2024/03/10,1,发芽期,晴,17.4,7.6,61.0,10.6,0.0,60.0,关闭遮阳棚,环境条件适宜
2024/03/10,2,发芽期,晴,18.1,8.3,56.0,10.8,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/10,3,发芽期,晴,16.8,7.0,61.0,10.5,0.0,55.0,关闭遮阳棚,环境条件适宜
2024/03/10,4,发芽期,晴,17.0,7.2,63.0,10.7,0.3,61.0,关闭遮阳棚,环境条件适宜
2024/03/11,1,幼苗期,晴,17.6,7.8,58.0,10.8,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/11,2,幼苗期,晴,18.0,8.2,58.0,11.3,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/11,3,发芽期,晴,19.0,9.2,62.0,11.1,0.8,60.0,关闭遮阳棚,环境条件适宜
2024/03/11,4,发芽期,晴,17.5,7.7,62.0,11.4,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/12,1,幼苗期,晴,19.7,9.9,65.0,11.9,0.4,63.0,关闭遮阳棚,环境条件适宜
2024/03/12,2,幼苗期,晴,20.2,10.4,65.0,11.6,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/12,3,幼苗期,晴,17.9,8.1,61.0,11.4,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/12,4,幼苗期,晴,18.6,8.8,59.0,11.3,0.3,54.0,关闭遮阳棚,环境条件适宜
2024/03/13,1,幼苗期,多云,17.2,8.8,73.0,7.1,0.0,64.0,关闭遮阳棚,环境条件适宜
2024/03/13,2,幼苗期,多云,18.6,10.2,70.0,7.6,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/13,3,幼苗期,多云,19.0,10.6,73.0,7.4,0.6,63.0,关闭遮阳棚,环境条件适宜
2024/03/13,4,幼苗期,多云,17.4,9.0,68.0,7.4,0.0,63.0,关闭遮阳棚,环境条件适宜
2024/03/14,1,幼苗期,晴,18.4,8.4,66.0,12.2,0.7,63.0,关闭遮阳棚,环境条件适宜
2024/03/14,2,幼苗期,晴,20.6,10.6,67.0,12.1,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/03/14,3,幼苗期,晴,19.1,9.1,70.0,11.7,0.2,55.0,关闭遮阳棚,环境条件适宜
2024/03/14,4,幼苗期,晴,18.8,8.8,68.0,11.6,0.4,56.0,关闭遮阳棚,环境条件适宜
2024/03/15,1,幼苗期,晴,21.1,11.2,60.0,12.1,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/15,2,幼苗期,晴,18.7,8.8,62.0,11.5,0.1,55.0,关闭遮阳棚,环境条件适宜
2024/03/15,3,幼苗期,晴,20.1,10.2,59.0,12.1,0.0,62.0,关闭遮阳棚,环境条件适宜
2024/03/15,4,幼苗期,晴,19.6,9.7,65.0,12.1,0.0,60.0,关闭遮阳棚,环境条件适宜
2024/03/16,1,幼苗期,晴,20.4,10.7,65.0,12.0,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/16,2,幼苗期,晴,21.3,11.6,56.0,12.3,0.8,61.0,关闭遮阳棚,环境条件适宜
2024/03/16,3,幼苗期,晴,19.8,10.1,59.0,11.6,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/03/16,4,幼苗期,晴,20.4,10.7,58.0,12.3,0.3,58.0,关闭遮阳棚,环境条件适宜
2024/03/17,1,幼苗期,晴,21.3,11.5,57.0,12.8,0.6,54.0,关闭遮阳棚,环境条件适宜
2024/03/17,2,幼苗期,晴,20.6,10.8,60.0,12.5,0.0,52.0,关闭遮阳棚,环境条件适宜
2024/03/17,3,幼苗期,晴,19.7,9.9,62.0,12.6,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/17,4,幼苗期,晴,19.6,9.8,58.0,12.7,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/18,1,幼苗期,晴,20.3,10.5,60.0,12.1,0.9,56.0,关闭遮阳棚,环境条件适宜
2024/03/18,2,幼苗期,晴,19.9,10.1,62.0,12.0,1.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/18,3,幼苗期,晴,20.4,10.6,64.0,12.6,0.0,55.0,关闭遮阳棚,环境条件适宜
2024/03/18,4,幼苗期,晴,20.5,10.7,61.0,11.7,0.0,52.0,关闭遮阳棚,环境条件适宜
2024/03/19,1,幼苗期,多云,20.2,11.8,71.0,7.5,0.2,65.0,关闭遮阳棚,环境条件适宜
2024/03/19,2,幼苗期,多云,18.8,10.4,63.0,8.4,0.3,60.0,关闭遮阳棚,环境条件适宜
2024/03/19,3,幼苗期,多云,19.5,11.1,71.0,8.4,0.9,68.0,关闭遮阳棚,环境条件适宜
2024/03/19,4,幼苗期,多云,19.2,10.8,69.0,7.5,0.0,62.0,关闭遮阳棚,环境条件适宜
2024/03/20,1,营养生长期,晴,21.6,11.9,63.0,12.7,0.0,60.0,关闭遮阳棚,环境条件适宜
2024/03/20,2,营养生长期,晴,20.8,11.1,64.0,12.1,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/20,3,幼苗期,晴,21.3,11.6,68.0,13.0,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/20,4,幼苗期,晴,20.5,10.8,63.0,12.3,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/21,1,营养生长期,晴,21.6,11.8,67.0,12.3,0.1,53.0,关闭遮阳棚,环境条件适宜
2024/03/21,2,营养生长期,晴,22.7,12.9,61.0,13.1,0.0,62.0,关闭遮阳棚,环境条件适宜
2024/03/21,3,营养生长期,晴,21.1,11.3,58.0,12.2,0.3,53.0,关闭遮阳棚,环境条件适宜
2024/03/21,4,营养生长期,晴,21.5,11.7,67.0,12.5,0.9,60.0,关闭遮阳棚,环境条件适宜
2024/03/22,1,营养生长期,晴,21.6,12.0,59.0,12.7,0.1,54.0,关闭遮阳棚,环境条件适宜
2024/03/22,2,营养生长期,晴,21.8,12.2,64.0,12.7,0.0,60.0,关闭遮阳棚,环境条件适宜
2024/03/22,3,营养生长期,晴,20.9,11.3,61.0,12.5,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/22,4,营养生长期,晴,21.5,11.9,60.0,12.6,0.2,54.0,关闭遮阳棚,环境条件适宜
2024/03/23,1,营养生长期,晴,21.0,11.5,62.0,12.7,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/23,2,营养生长期,晴,22.5,13.0,65.0,13.1,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/23,3,营养生长期,晴,21.8,12.3,62.0,12.7,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/03/23,4,营养生长期,晴,21.2,11.7,57.0,13.1,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/24,1,营养生长期,多云,21.8,13.3,63.0,8.5,0.0,63.0,关闭遮阳棚,环境条件适宜
2024/03/24,2,营养生长期,多云,20.9,12.4,67.0,8.4,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/24,3,营养生长期,多云,21.0,12.5,63.0,8.8,0.0,62.0,关闭遮阳棚,环境条件适宜
2024/03/24,4,营养生长期,多云,22.4,13.9,70.0,8.6,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/25,1,营养生长期,晴,22.6,13.0,64.0,12.8,0.0,55.0,关闭遮阳棚,环境条件适宜
2024/03/25,2,营养生长期,晴,23.2,13.6,68.0,13.2,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/25,3,营养生长期,晴,23.5,13.9,64.0,12.6,0.7,57.0,关闭遮阳棚,环境条件适宜
2024/03/25,4,营养生长期,晴,22.4,12.8,70.0,12.8,0.6,54.0,关闭遮阳棚,环境条件适宜
2024/03/26,1,营养生长期,晴,23.0,13.4,63.0,13.5,0.5,58.0,关闭遮阳棚,环境条件适宜
2024/03/26,2,营养生长期,晴,22.9,13.3,68.0,13.3,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/26,3,营养生长期,晴,22.1,12.5,64.0,13.3,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/26,4,营养生长期,晴,22.0,12.4,68.0,13.3,0.0,53.0,关闭遮阳棚,环境条件适宜
2024/03/27,1,营养生长期,晴,22.8,13.3,66.0,12.8,0.2,60.0,关闭遮阳棚,环境条件适宜
2024/03/27,2,营养生长期,晴,22.3,12.8,63.0,13.0,0.2,53.0,关闭遮阳棚,环境条件适宜
2024/03/27,3,营养生长期,晴,22.6,13.1,61.0,13.4,0.2,61.0,关闭遮阳棚,环境条件适宜
2024/03/27,4,营养生长期,晴,23.1,13.6,60.0,13.5,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/03/28,1,营养生长期,晴,22.4,12.8,63.0,13.3,0.2,62.0,关闭遮阳棚,环境条件适宜
2024/03/28,2,营养生长期,晴,24.7,15.1,61.0,13.0,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/03/28,3,营养生长期,晴,23.6,14.0,65.0,13.2,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/28,4,营养生长期,晴,24.0,14.4,63.0,12.9,0.2,58.0,关闭遮阳棚,环境条件适宜
2024/03/29,1,营养生长期,小雨,21.2,13.7,79.0,4.0,4.5,89.0,关闭遮阳棚,环境条件适宜
2024/03/29,2,营养生长期,小雨,21.3,13.8,79.0,3.5,4.5,95.0,关闭遮阳棚,环境条件适宜
2024/03/29,3,营养生长期,小雨,21.0,13.5,82.0,4.0,5.3,84.0,关闭遮阳棚,环境条件适宜
2024/03/29,4,营养生长期,小雨,21.5,14.0,80.0,4.5,5.9,85.0,关闭遮阳棚,环境条件适宜
2024/03/30,1,营养生长期,多云,22.9,15.2,78.0,8.2,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/03/30,2,营养生长期,多云,21.8,14.1,77.0,7.7,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/03/30,3,营养生长期,多云,21.3,13.6,76.0,7.5,0.0,68.0,关闭遮阳棚,环境条件适宜
2024/03/30,4,营养生长期,多云,22.9,15.2,72.0,7.7,0.6,67.0,关闭遮阳棚,环境条件适宜
2024/03/31,1,营养生长期,晴,22.6,13.6,65.0,13.7,0.0,62.0,关闭遮阳棚,环境条件适宜
2024/03/31,2,营养生长期,晴,23.1,14.1,68.0,13.6,0.9,61.0,关闭遮阳棚,环境条件适宜
2024/03/31,3,营养生长期,晴,22.7,13.7,71.0,13.3,0.0,59.0,关闭遮阳棚,环境条件适宜
2024/03/31,4,营养生长期,晴,25.0,16.0,72.0,13.2,0.1,60.0,开启遮阳棚,温度适中但光照强
2024/04/01,1,营养生长期,晴,22.9,14.0,71.0,13.4,0.6,61.0,关闭遮阳棚,环境条件适宜
2024/04/01,2,营养生长期,晴,25.1,16.2,66.0,13.8,0.0,60.0,开启遮阳棚,温度适中但光照强
2024/04/01,3,营养生长期,晴,24.9,16.0,67.0,13.5,1.0,57.0,关闭遮阳棚,环境条件适宜
2024/04/01,4,营养生长期,晴,24.8,15.9,65.0,13.3,0.6,63.0,关闭遮阳棚,环境条件适宜
2024/04/02,1,开花期,晴,23.4,14.7,69.0,13.3,0.6,62.0,关闭遮阳棚,环境条件适宜
2024/04/02,2,开花期,晴,24.6,15.9,65.0,13.7,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/04/02,3,营养生长期,晴,24.2,15.5,70.0,13.2,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/04/02,4,营养生长期,晴,23.9,15.2,62.0,13.9,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/04/03,1,开花期,晴,25.1,16.3,62.0,13.7,0.7,63.0,开启遮阳棚,温度适中但光照强
2024/04/03,2,开花期,晴,25.4,16.6,66.0,13.7,0.6,58.0,开启遮阳棚,温度适中但光照强
2024/04/03,3,开花期,晴,23.9,15.1,66.0,13.5,0.3,55.0,关闭遮阳棚,环境条件适宜
2024/04/03,4,开花期,晴,25.1,16.3,65.0,14.1,1.0,55.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/04,1,开花期,晴,24.7,15.9,60.0,13.9,0.5,55.0,关闭遮阳棚,环境条件适宜
2024/04/04,2,开花期,晴,25.2,16.4,60.0,13.7,0.5,57.0,开启遮阳棚,温度适中但光照强
2024/04/04,3,开花期,晴,25.2,16.4,61.0,14.1,0.2,58.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/04,4,开花期,晴,25.5,16.7,59.0,13.7,0.0,57.0,开启遮阳棚,温度适中但光照强
2024/04/05,1,开花期,晴,25.7,16.9,56.0,14.0,0.0,54.0,开启遮阳棚,温度适中但光照强
2024/04/05,2,开花期,晴,26.1,17.3,62.0,14.2,0.0,58.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/05,3,开花期,晴,24.4,15.6,62.0,13.8,0.0,58.0,关闭遮阳棚,环境条件适宜
2024/04/05,4,开花期,晴,26.1,17.3,57.0,13.8,0.5,58.0,开启遮阳棚,温度适中但光照强
2024/04/06,1,开花期,多云,23.0,15.3,70.0,9.5,0.0,65.0,关闭遮阳棚,环境条件适宜
2024/04/06,2,开花期,多云,25.0,17.3,69.0,8.6,0.7,59.0,关闭遮阳棚,环境条件适宜
2024/04/06,3,开花期,多云,25.1,17.4,65.0,8.8,0.6,67.0,关闭遮阳棚,环境条件适宜
2024/04/06,4,开花期,多云,23.7,16.0,67.0,9.4,0.8,60.0,关闭遮阳棚,环境条件适宜
2024/04/07,1,开花期,晴,26.2,17.4,65.0,13.9,0.2,62.0,开启遮阳棚,温度适中但光照强
2024/04/07,2,开花期,晴,25.4,16.6,66.0,14.1,0.0,59.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/07,3,开花期,晴,24.8,16.0,60.0,14.4,0.0,56.0,关闭遮阳棚,环境条件适宜
2024/04/07,4,开花期,晴,24.7,15.9,61.0,14.0,0.3,55.0,关闭遮阳棚,环境条件适宜
2024/04/08,1,开花期,晴,25.1,16.4,66.0,14.4,0.9,63.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/08,2,开花期,晴,24.5,15.8,63.0,14.6,0.0,57.0,关闭遮阳棚,环境条件适宜
2024/04/08,3,开花期,晴,24.7,16.0,65.0,14.5,0.0,54.0,关闭遮阳棚,环境条件适宜
2024/04/08,4,开花期,晴,26.9,18.2,68.0,14.5,0.0,60.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/09,1,坐果期,晴,27.1,18.3,58.0,13.9,0.0,58.0,开启遮阳棚,温度适中但光照强
2024/04/09,2,坐果期,晴,26.5,17.7,59.0,14.3,0.6,60.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/09,3,开花期,晴,27.2,18.4,64.0,14.1,0.0,56.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/09,4,开花期,晴,25.6,16.8,62.0,14.6,0.8,60.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/10,1,坐果期,晴,26.6,17.9,66.0,14.4,0.0,62.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/10,2,坐果期,晴,25.6,16.9,61.0,13.8,0.0,52.0,开启遮阳棚,温度适中但光照强
2024/04/10,3,坐果期,晴,25.2,16.5,58.0,14.5,0.3,61.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/10,4,坐果期,晴,25.9,17.2,66.0,14.5,0.8,58.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/11,1,坐果期,多云,26.2,18.4,68.0,9.1,0.5,64.0,关闭遮阳棚,环境条件适宜
2024/04/11,2,坐果期,多云,24.5,16.7,65.0,9.6,0.6,62.0,关闭遮阳棚,环境条件适宜
2024/04/11,3,坐果期,多云,25.9,18.1,73.0,9.7,0.9,65.0,关闭遮阳棚,环境条件适宜
2024/04/11,4,坐果期,多云,25.4,17.6,73.0,9.3,0.0,64.0,关闭遮阳棚,环境条件适宜
2024/04/12,1,坐果期,晴,26.6,18.0,63.0,13.9,0.8,63.0,开启遮阳棚,温度适中但光照强
2024/04/12,2,坐果期,晴,26.2,17.6,63.0,14.3,0.0,60.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/12,3,坐果期,晴,27.5,18.9,65.0,14.1,0.0,53.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/12,4,坐果期,晴,26.3,17.7,68.0,14.4,0.0,61.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/13,1,坐果期,晴,27.8,19.3,61.0,14.2,0.6,64.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/13,2,坐果期,晴,25.9,17.4,61.0,14.5,0.0,68.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/13,3,坐果期,晴,27.7,19.2,67.0,14.2,0.2,61.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/13,4,坐果期,晴,27.9,19.4,67.0,15.0,0.0,54.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/14,1,坐果期,晴,25.9,17.4,59.0,14.7,0.1,57.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/14,2,坐果期,晴,25.8,17.3,66.0,14.9,0.0,57.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/14,3,坐果期,晴,26.4,17.9,66.0,14.3,0.0,65.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/14,4,坐果期,晴,26.1,17.6,68.0,15.1,0.0,69.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/15,1,果实膨大期,晴,26.8,18.3,65.0,14.2,0.0,52.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/15,2,果实膨大期,晴,26.4,17.9,61.0,15.1,0.0,54.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/15,3,坐果期,晴,27.9,19.4,63.0,14.8,0.0,55.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/15,4,坐果期,晴,26.8,18.3,60.0,14.9,0.0,56.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/16,1,果实膨大期,晴,26.4,17.8,57.0,15.2,0.0,62.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/16,2,果实膨大期,晴,27.0,18.4,55.0,14.6,0.0,53.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/16,3,果实膨大期,晴,28.2,19.6,60.0,14.6,0.0,58.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/16,4,果实膨大期,晴,27.4,18.8,58.0,15.1,0.8,55.0,开启遮阳棚,"强光照, 温度适中但光照强"
2024/04/17,1,果实膨大期,多云,25.8,18.4,73.0,10.4,0.0,61.0,关闭遮阳棚,环境条件适宜
2024/04/17,2,果实膨大期,多云,26.6,19.2,64.0,9.8,0.0,66.0,关闭遮阳棚,环境条件适宜
2024/04/17,3,果实膨大期,多云,26.7,19.3,63.0,10.3,0.4,65.0,关闭遮阳棚,环境条件适宜
2024/04/17,4,果实膨大期,多云,27.1,19.7,69.0,9.9,0.0,66.0,关闭遮阳棚,环境条件适宜
2024/04/18,1,果实膨大期,小雨,25.8,20.1,82.0,5.6,5.8,91.0,关闭遮阳棚,环境条件适宜
2024/04/18,2,果实膨大期,小雨,25.0,19.3,89.0,5.3,5.9,88.0,关闭遮阳棚,环境条件适宜
2024/04/18,3,果实膨大期,小雨,26.0,20.3,84.0,4.9,7.6,94.0,关闭遮阳棚,环境条件适宜
2024/04/18,4,果实膨大期,小雨,24.6,18.9,87.0,5.8,6.2,95.0,关闭遮阳棚,环境条件适宜
2024/04/19,1,果实膨大期,阴,26.3,20.3,86.0,3.3,0.3,67.0,关闭遮阳棚,环境条件适宜
2024/04/19,2,果实膨大期,阴,25.2,19.2,89.0,3.2,0.3,69.0,关闭遮阳棚,环境条件适宜
2024/04/19,3,果实膨大期,阴,26.3,20.3,89.0,2.7,0.6,69.0,关闭遮阳棚,环境条件适宜
2024/04/19,4,果实膨大期,阴,24.5,18.5,93.0,2.8,1.5,67.0,关闭遮阳棚,环境条件适宜
